name,slug,denominations,denomination_type,rate
Disney Store,disney-store,"[15,500]",VARIABLE,4
EA Play,ea-play,"[15,25]",FIXED,10
Dickey's Restaurant,dickeys-restaurant,"[10,500]",VARIABLE,11
Blimpie,blimpie,"[10,250]",VARIABLE,10
Home Chef,home-chef,"[10,500]",VARIABLE,10.5
Old Navy,old-navy,"[50,100]",FIXED,15.5
Old Navy,old-navy,"[10,500]",VARIABLE,7.5
Fairmont Hotels & Resorts,fairmont-hotels-resorts,"[25,50,100]",FIXED,4.5
Happy Card/One4all - Giving Good Hope,Happy-Card-One4all-Giving-Good-Hope,"[25,500]",VARIABLE,3.5
Public Lands,public-lands,[100],FIXED,4
Public Lands,public-lands,"[10,500]",VARIABLE,3
White House Black Market,white-house-black-market,"[15,500]",VARIABLE,7.5
TownePlace Suites,towneplace-suites,"[100,250,350,500,850]",FIXED,9
TownePlace Suites,towneplace-suites,"[25,2000]",VARIABLE,4.5
SureStay Studio,surestay-studio,"[25,1000]",VARIABLE,7.5
Applebee's,applebees,"[50,100]",FIXED,10.5
Applebee's,applebees,"[10,500]",VARIABLE,6.5
Callaway,callaway,"[25,50,100,250]",FIXED,20
Bob Evans Restaurants,bob-evans-restaurants,"[10,500]",VARIABLE,8.5
Morrison's Restaurants,morrisons-restaurants,"[10,500]",VARIABLE,13.5
Huntsman Cancer Foundation,huntsman-cancer-foundation,"[10,1000]",VARIABLE,4.5
Bed Bath & Beyond,bed-bath-beyond,"[10,500]",VARIABLE,5
IMVU,imvu,"[10,25]",FIXED,10
Hot Topic,hot-topic,"[15,500]",VARIABLE,6.5
Papa Murphy's,papa-murphys,"[10,250]",VARIABLE,4
Houlihan's,houlihans,"[25,500]",VARIABLE,10.5
Tory Burch,tory-burch,[50],FIXED,3
Heroes Evolved,heroes-evolved,"[20,50,100]",FIXED,1
LOFT,loft,"[10,500]",VARIABLE,6.5
Nautica,nautica,"[10,500]",VARIABLE,9
Victoria's Secret PINK,victorias-secret-pink,"[10,500]",VARIABLE,4.5
BW Signature Collection,bw-signature-collection,"[25,1000]",VARIABLE,7.5
EA Origin,ea-origin,[20],FIXED,10
Meta Quest,meta-quest,"[25,100]",VARIABLE,4.5
J. Christopher's,j-christophers,"[10,250]",VARIABLE,10.5
Banana Republic,banana-republic,"[50,100]",FIXED,15.5
Banana Republic,banana-republic,"[10,500]",VARIABLE,7.5
Happy Card/One4all Favorites - Thank You Swap,happy-card-one4all-favorites-thank-you-swap,"[25,500]",VARIABLE,4
Hooters,hooters,"[10,250]",VARIABLE,7.5
Pinkberry,pinkberry,"[10,100]",VARIABLE,5
Mark & Graham,mark-graham,"[25,1000]",VARIABLE,5
Tribute Portfolio,tribute-portfolio,"[100,250,350,500,850]",FIXED,9
Tribute Portfolio,tribute-portfolio,"[25,2000]",VARIABLE,4.5
Lowe's,lowes,"[100,250]",FIXED,8.5
Lowe's,lowes,[24],FIXED,6
Lowe's,lowes,"[10,2000]",VARIABLE,5
Rusty Pelican,rusty-pelican,"[25,500]",VARIABLE,10.5
Puckett's Grocery,pucketts-grocery,"[10,250]",VARIABLE,10.5
For the love of Shipping,for-the-love-of-shipping,"[20,1900]",VARIABLE,7
Marcus Theater,marcus-theater,"[15,500]",VARIABLE,8.5
Hopdoddy Burger Bar,Hopdoddy-Burger-Bar,"[25,50,100]",FIXED,5
Blue Fin Seafood Sushi,blue-fin-seafood-sushi,"[25,500]",VARIABLE,10.5
Aiden by Best Western,aiden-by-best-western,"[25,1000]",VARIABLE,7.5
Tijuana Flats,tijuana-flats,"[10,100]",VARIABLE,6.5
Giant Eagle,giant-eagle,"[10,500]",VARIABLE,2.5
The Ritz-Carlton,the-ritzcarlton,"[100,250,350,500,850]",FIXED,9
The Ritz-Carlton,the-ritzcarlton,"[25,2000]",VARIABLE,4.5
Star Market,star-market,"[10,250]",VARIABLE,3
Publix,publix,"[10,100]",FIXED,4
Publix,publix,"[25,50]",FIXED,1.5
Ruth's Chris,ruths-chris,"[25,500]",VARIABLE,6
Main Event,main-event,"[20,500]",VARIABLE,12
Red Lobster,red-lobster,"[10,250]",VARIABLE,6.5
Harry & David,harry-david,"[15,500]",VARIABLE,10.5
Acme Markets,acme,"[10,250]",VARIABLE,3
The Luxury Collection,the-luxury-collection,"[100,250,350,500,850]",FIXED,9
The Luxury Collection,the-luxury-collection,"[25,2000]",VARIABLE,4.5
Cold Stone Creamery,cold-stone-creamery,"[10,25,50]",FIXED,11
Cold Stone Creamery,cold-stone-creamery,"[10,200]",VARIABLE,10.5
Trex Cafe,trex-cafe,"[25,500]",VARIABLE,10.5
Famous Footwear Outlet,famous-footwear-outlet,[250],FIXED,10
Famous Footwear Outlet,famous-footwear-outlet,"[10,250]",VARIABLE,7
Bowlero,Bowlero,"[25,500]",VARIABLE,7
Happy Card/One4all Giving Good - Wounded Warrior Project,happy-card-one4all-giving-good-wounded-warrior-project,"[25,500]",VARIABLE,4
Deezer Premium,deezer-premium,"[10.99,32.97]",FIXED,8
Chart House,chart-house,"[25,500]",VARIABLE,10.5
Sephora,sephora,"[10,250]",VARIABLE,5
The Coffee Bean & Tea Leaf,the-coffee-bean-tea-leaf,"[10,100]",VARIABLE,9.5
Happy Card/One4all Giving Good - American Cancer Society,happy-card-one4all-giving-good-american-cancer-society,"[25,500]",VARIABLE,3.5
ASOS,asos,"[15,500]",VARIABLE,6.5
LongHorn Steakhouse,longhorn-steakhouse,"[10,250]",VARIABLE,6
Andretti Indoor Karting & Games,andretti-indoor-karting-games,"[20,250]",VARIABLE,10.5
Winn Dixie,winn-dixie,"[10,500]",VARIABLE,4
Drybar,drybar,"[25,500]",VARIABLE,10.5
Clean Water Fund - Charity on Top,clean-water-fund,"[10,500]",VARIABLE,7.5
Global Hotel Card US,global-hotel-card-us,"[50,500]",VARIABLE,7.5
InSTEDD,instedd,"[10,1000]",VARIABLE,4.5
For the love of Groceries,for-the-love-of-groceries,"[20,1900]",VARIABLE,7
Solo Stove,solo-stove,[370],FIXED,15
Solo Stove,solo-stove,"[25,500]",VARIABLE,8.5
RED,red,"[10,1000]",VARIABLE,4.5
Kay Jewelers,Kay-Jewelers,"[25,500]",VARIABLE,10.5
Bark Box,bark-box,[35],FIXED,5
Target,target,"[15,400]",FIXED,4.5
Target,target,"[10,500]",VARIABLE,4
Jake's Famous Crawfish,jakes-famous-crawfish,"[25,500]",VARIABLE,10.5
Dillons,dillons,"[10,500]",VARIABLE,2.75
Kona Grill,kona-grill,"[20,250]",VARIABLE,9.5
Bouchee Patisserie,bouchee-patisserie,"[25,500]",VARIABLE,10.5
Xbox Live,xbox-llive,"[25,50,60]",FIXED,6
Happy Card/One4all Favorites - Retail Therapy,happy-card-one4all-favorites-retail-therapy,[500],FIXED,5
Happy Card/One4all Favorites - Retail Therapy,happy-card-one4all-favorites-retail-therapy,"[25,500]",VARIABLE,4
Starbucks,starbucks,"[40,45,50,100]",FIXED,9
Starbucks,starbucks,"[10,500]",VARIABLE,4
Girls Who Code - Charity on Top,girls-who-code,"[10,500]",VARIABLE,7.5
Lobster Gram,lobster-gram,"[25,50,100]",FIXED,10
Mitchell's Steakhouse,mitchells-steakhouse,"[25,500]",VARIABLE,10.5
The Vitamin Shoppe,the-vitamin-shoppe,"[10,23,25,50,74.5,82,106.5]",FIXED,10
The Vitamin Shoppe,the-vitamin-shoppe,"[10,500]",VARIABLE,4.5
BR Guest,br-guest,"[25,500]",VARIABLE,10.5
Yalla Ludo Diamond,yalla-ludo-diamond,"[10,25,50,100,300,500]",FIXED,5.5
League of Legends,league-of-legends,"[10,25,50,100]",FIXED,5
Petco,petco,"[20,200]",VARIABLE,8.5
Travelcard by Inspire,travelcard-by-inspire,"[10,3000]",VARIABLE,3
Cinemark,cinemark,"[20,250]",VARIABLE,8.5
Delta Hotels and Resorts,delta-hotels-and-resorts,"[100,250,350,500,850]",FIXED,9
Delta Hotels and Resorts,delta-hotels-and-resorts,"[25,2000]",VARIABLE,4.5
WorldHotels Crafted,worldhotels-crafted,"[25,1000]",VARIABLE,7.5
The Picklr,the-pucklr,"[25,500]",VARIABLE,7
Vuz,vuz,"[24,40,60]",FIXED,2
IKEA,ikea,"[25,500]",VARIABLE,4
MLB Shop,mlb-shop,"[10,500]",VARIABLE,8.5
Rejuvenation,rejuvenation,"[25,1000]",VARIABLE,5
For the love of Fuel,for-the-love-of-fuel,"[20,1900]",VARIABLE,7
Pay It Down College,pay-it-down-college,"[20,1900]",VARIABLE,7
Papa John's,papa-johns,"[10,500]",VARIABLE,6.5
The San Luis Resort Spa And Conference Center,the-san-luis-resort-spa-and-conference-center,"[25,500]",VARIABLE,10.5
Palisade,palisade,"[25,500]",VARIABLE,10.5
Pilot Flying J,pilot-flying-j,"[10,500]",VARIABLE,5
Microsoft 365 Business Standard,microsoft-365-business-standard,[149.99],FIXED,9.5
Sportsman's Warehouse,sportsmans-warehouse,[25],FIXED,15
Sportsman's Warehouse,sportsmans-warehouse,[500],FIXED,10
Sportsman's Warehouse,sportsmans-warehouse,"[15,500]",VARIABLE,9.5
Zappos,zappos,"[100,250]",FIXED,7
Zappos,zappos,"[10,15,25,50]",FIXED,5
Zappos,zappos,"[25,500]",VARIABLE,4
EDITION,edition,"[100,250,350,500,850]",FIXED,9
EDITION,edition,"[25,2000]",VARIABLE,4.5
Harvey's Supermarkets,harveys-supermarkets,"[10,500]",VARIABLE,4
The Children's Place,the-childrens-place,[15],FIXED,10
The Children's Place,the-childrens-place,"[15,500]",VARIABLE,9.5
eBay,ebay,"[25,500]",VARIABLE,3.5
AnyCard Dine,anycard-dine,"[10,500]",VARIABLE,4.5
Von Diamonds,von-diamonds,"[25,2000]",VARIABLE,9
Etsy,etsy,"[15,500]",VARIABLE,4
Restaurant.com,restaurant-com,"[10,25,50,100]",FIXED,35
Jewel Osco,jewel-osco,"[10,250]",VARIABLE,3
Carrabba's Italian Grill,carrabbas-italian-grill,"[10,500]",VARIABLE,9.5
Crate & Barrel,crate-barrel,"[10,1000]",VARIABLE,6
Adventures by Disney,adventures-by-disney,"[50,100]",FIXED,5
Adventures by Disney,adventures-by-disney,"[15,500]",VARIABLE,4
Happy Card/One4all Giving Good - Habitat for Humanity,happy-card-one4all-giving-good-habitat-for-humanity,"[25,500]",VARIABLE,3
Hollister,hollister,[500],FIXED,9
Hollister,hollister,"[25,500]",VARIABLE,5
Landry's,landrys,"[25,500]",VARIABLE,10.5
Climbing Sand Dune,climbing-sand-dune,"[21,40,90]",FIXED,3
Maggie Bluffs,maggie-bluffs,"[25,500]",VARIABLE,10.5
Royal Caribbean,royal-caribbean,[1125],FIXED,12
Royal Caribbean,royal-caribbean,"[50,2000]",VARIABLENOCENTS,7
The Boathouse Restaurant,the-boathouse-restaurant,"[25,500]",VARIABLE,10.5
Delano,delano,"[25,50,100]",FIXED,4.5
"JD Sports ",jd-sports,[100],FIXED,8.5
